analysis_category,date_value,cve_count,activity_classification
DAILY_TREND,2025-09-04T19:28:07.752Z,1,Normal
DAILY_TREND,2025-09-04T19:18:59.502Z,1,Normal
DAILY_TREND,2025-09-04T18:33:44.377Z,1,Normal
DAILY_TREND,2025-09-04T17:11:40.123Z,1,Normal
DAILY_TREND,2025-09-04T15:04:57.324Z,1,Normal
DAILY_TREND,2025-09-04T10:55:34.535Z,1,Normal
DAILY_TREND,2025-09-04T08:31:36.871Z,1,Normal
DAILY_TREND,2025-09-04T07:40:22.506Z,1,Normal
DAILY_TREND,2025-09-04T05:10:34.652Z,1,Normal
DAILY_TREND,2025-09-04T05:10:07.134Z,1,Normal
DAILY_TREND,2025-09-03T13:12:12.966Z,1,Normal
DAILY_TREND,2025-09-03T13:05:20.054Z,1,Normal
DAILY_TREND,2025-09-03T09:10:24.401Z,1,Normal
DAILY_TREND,2025-09-03T08:48:48.851Z,1,Normal
DAILY_TREND,2025-09-03T08:40:36.938Z,1,Normal
DAILY_TREND,2025-09-03T08:38:32.442Z,1,Normal
DAILY_TREND,2025-09-03T08:33:39.134Z,1,Normal
DAILY_TREND,2025-09-03T06:55:35.317Z,1,Normal
DAILY_TREND,2025-09-02T22:11:07.640Z,1,Normal
DAILY_TREND,2025-09-02T22:11:06.608Z,1,Normal
DAILY_TREND,2025-09-02T22:11:05.590Z,1,Normal
DAILY_TREND,2025-09-02T22:11:04.547Z,1,Normal
DAILY_TREND,2025-09-02T22:11:03.498Z,1,Normal
DAILY_TREND,2025-09-02T13:19:38.748Z,1,Normal
DAILY_TREND,2025-09-02T11:53:03.928Z,1,Normal
DAILY_TREND,2025-09-02T11:49:49.379Z,1,Normal
DAILY_TREND,2025-09-02T11:43:35.654Z,1,Normal
DAILY_TREND,2025-09-02T11:38:30.348Z,1,Normal
DAILY_TREND,2025-09-02T00:00:00.000Z,1,Normal
DAILY_TREND,2025-09-01T21:18:58.626Z,1,Normal
DAILY_TREND,2025-09-01T12:39:26.843Z,1,Normal
DAILY_TREND,2025-09-01T12:33:31.981Z,1,Normal
DAILY_TREND,2025-09-01T12:28:06.846Z,1,Normal
DAILY_TREND,2025-08-31T03:47:28.414Z,1,Normal
DAILY_TREND,2025-08-31T03:46:56.764Z,1,Normal
DAILY_TREND,2025-08-29T17:02:32.452Z,1,Normal
DAILY_TREND,2025-08-29T10:54:01.765Z,1,Normal
DAILY_TREND,2025-08-29T07:20:21.219Z,1,Normal
DAILY_TREND,2025-08-29T00:28:53.367Z,1,Normal
DAILY_TREND,2025-08-29T00:28:51.181Z,1,Normal
DAILY_TREND,2025-08-29T00:28:50.351Z,1,Normal
DAILY_TREND,2025-08-29T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-28T15:49:46.119Z,1,Normal
DAILY_TREND,2025-08-28T14:56:43.967Z,1,Normal
DAILY_TREND,2025-08-28T14:09:59.110Z,1,Normal
DAILY_TREND,2025-08-28T09:40:33.466Z,1,Normal
DAILY_TREND,2025-08-28T05:24:51.897Z,1,Normal
DAILY_TREND,2025-08-28T03:42:44.577Z,1,Normal
DAILY_TREND,2025-08-27T21:27:15.814Z,1,Normal
DAILY_TREND,2025-08-27T21:26:56.448Z,1,Normal
DAILY_TREND,2025-08-27T21:25:52.556Z,1,Normal
DAILY_TREND,2025-08-27T21:25:29.739Z,1,Normal
DAILY_TREND,2025-08-27T21:25:05.918Z,1,Normal
DAILY_TREND,2025-08-27T21:23:37.944Z,1,Normal
DAILY_TREND,2025-08-27T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-26T22:48:34.573Z,1,Normal
